sample_id,human_label,human_confidence,human_notes,annotator_a_label,annotator_b_label,source_file,source_line,summary
DV001,target_miscoordination,2,Annotators agreed.,target_miscoordination,target_miscoordination,epymarl/results/llm_fd/mappo_llm_fd_seed3_lbforaging:Foraging-8x8-2p-2f-coop-v3_2026-06-30 12:43:33.810742/failure_records.jsonl,608,"Environment: lbforaging:Foraging-8x8-2p-2f-coop-v3 | Episode length: 51 | Number of agents: 2 | Episode return: 0.0000 | Success threshold reached: not configured | Positive reward steps: 0 | Zero reward steps: 51 | Action histogram: {'load': 16, 'north': 27, 'west': 29, 'noop': 25, 'east': 3, 'south': 2} | Load action counts by agent: [12, 4] | Mean absolute state change: 0.030000 | State variation: 1.758950"
DV077,low_value_overcommitment,2,Annotators agreed.,low_value_overcommitment,low_value_overcommitment,epymarl/results/llm_fd/mappo_llm_fd_seed1_lbforaging:Foraging-8x8-2p-2f-coop-v3_2026-06-30 13:35:01.919796/failure_records.jsonl,1992,"Environment: lbforaging:Foraging-8x8-2p-2f-coop-v3 | Episode length: 51 | Number of agents: 2 | Episode return: 0.0000 | Success threshold reached: not configured | Positive reward steps: 0 | Zero reward steps: 51 | Action histogram: {'east': 23, 'load': 68, 'south': 3, 'west': 6, 'north': 1, 'noop': 1} | Load action counts by agent: [33, 35] | Mean absolute state change: 0.038333 | State variation: 1.859356"
DV078,low_value_overcommitment,2,Annotators agreed.,low_value_overcommitment,low_value_overcommitment,epymarl/results/llm_fd/mappo_llm_fd_seed3_lbforaging:Foraging-8x8-2p-2f-coop-v3_2026-06-30 14:07:24.631834/failure_records.jsonl,1842,"Environment: lbforaging:Foraging-8x8-2p-2f-coop-v3 | Episode length: 51 | Number of agents: 2 | Episode return: 0.0000 | Success threshold reached: not configured | Positive reward steps: 0 | Zero reward steps: 51 | Action histogram: {'east': 9, 'load': 75, 'south': 5, 'west': 6, 'noop': 2, 'north': 5} | Load action counts by agent: [39, 36] | Mean absolute state change: 0.041667 | State variation: 1.548409"
DV079,inefficient_exploration,3,Adjudicated to annotator A on semantic ambiguity.,inefficient_exploration,low_value_overcommitment,epymarl/results/llm_fd/mappo_llm_fd_seed1_lbforaging:Foraging-10x10-3p-3f-v3_2026-07-01 07:45:17.277654/failure_records.jsonl,875,"Environment: lbforaging:Foraging-10x10-3p-3f-v3 | Episode length: 51 | Number of agents: 3 | Episode return: 0.0000 | Success threshold reached: not configured | Positive reward steps: 0 | Zero reward steps: 51 | Action histogram: {'south': 88, 'load': 53, 'east': 8, 'north': 3, 'noop': 1} | Load action counts by agent: [15, 15, 23] | Mean absolute state change: 0.032222 | State variation: 2.645332"
DV080,inefficient_exploration,3,Adjudicated to annotator A on semantic ambiguity.,inefficient_exploration,low_value_overcommitment,epymarl/results/llm_fd/mappo_llm_fd_seed3_lbforaging:Foraging-10x10-3p-3f-v3_2026-06-30 14:35:20.815998/failure_records.jsonl,1234,"Environment: lbforaging:Foraging-10x10-3p-3f-v3 | Episode length: 51 | Number of agents: 3 | Episode return: 0.0000 | Success threshold reached: not configured | Positive reward steps: 0 | Zero reward steps: 51 | Action histogram: {'south': 10, 'east': 109, 'load': 18, 'north': 16} | Load action counts by agent: [9, 4, 5] | Mean absolute state change: 0.037778 | State variation: 2.784306"
DV081,low_value_overcommitment,2,Annotators agreed.,low_value_overcommitment,low_value_overcommitment,epymarl/results/llm_fd/mappo_llm_fd_seed1_lbforaging:Foraging-10x10-3p-3f-v3_2026-07-01 07:45:17.277654/failure_records.jsonl,1270,"Environment: lbforaging:Foraging-10x10-3p-3f-v3 | Episode length: 51 | Number of agents: 3 | Episode return: 0.0000 | Success threshold reached: not configured | Positive reward steps: 0 | Zero reward steps: 51 | Action histogram: {'load': 87, 'east': 64, 'south': 2} | Load action counts by agent: [30, 29, 28] | Mean absolute state change: 0.008889 | State variation: 3.048811"
DV082,inefficient_exploration,3,Adjudicated to annotator A on semantic ambiguity.,inefficient_exploration,low_value_overcommitment,epymarl/results/llm_fd/mappo_llm_fd_seed3_lbforaging:Foraging-10x10-3p-3f-v3_2026-07-01 08:42:46.689266/failure_records.jsonl,271,"Environment: lbforaging:Foraging-10x10-3p-3f-v3 | Episode length: 51 | Number of agents: 3 | Episode return: 0.0000 | Success threshold reached: not configured | Positive reward steps: 0 | Zero reward steps: 51 | Action histogram: {'east': 10, 'south': 37, 'load': 48, 'west': 40, 'north': 11, 'noop': 7} | Load action counts by agent: [12, 15, 21] | Mean absolute state change: 0.058889 | State variation: 2.955399"
DV083,low_value_overcommitment,2,Annotators agreed.,low_value_overcommitment,low_value_overcommitment,epymarl/results/llm_fd/mappo_llm_fd_seed3_lbforaging:Foraging-8x8-2p-2f-coop-v3_2026-06-30 14:07:24.631834/failure_records.jsonl,1086,"Environment: lbforaging:Foraging-8x8-2p-2f-coop-v3 | Episode length: 51 | Number of agents: 2 | Episode return: 0.0000 | Success threshold reached: not configured | Positive reward steps: 0 | Zero reward steps: 51 | Action histogram: {'load': 76, 'north': 17, 'east': 1, 'west': 5, 'noop': 2, 'south': 1} | Load action counts by agent: [38, 38] | Mean absolute state change: 0.028333 | State variation: 2.104506"
DV084,inefficient_exploration,3,Adjudicated to annotator A on semantic ambiguity.,inefficient_exploration,low_value_overcommitment,epymarl/results/llm_fd/mappo_llm_fd_seed3_lbforaging:Foraging-8x8-2p-2f-coop-v3_2026-06-30 12:43:33.810742/failure_records.jsonl,731,"Environment: lbforaging:Foraging-8x8-2p-2f-coop-v3 | Episode length: 51 | Number of agents: 2 | Episode return: 0.0000 | Success threshold reached: not configured | Positive reward steps: 0 | Zero reward steps: 51 | Action histogram: {'east': 11, 'north': 19, 'west': 39, 'load': 17, 'noop': 14, 'south': 2} | Load action counts by agent: [6, 11] | Mean absolute state change: 0.058333 | State variation: 1.569087"
DV085,inefficient_exploration,3,Adjudicated to annotator A on semantic ambiguity.,inefficient_exploration,low_value_overcommitment,epymarl/results/llm_fd/mappo_llm_fd_seed1_lbforaging:Foraging-10x10-3p-3f-v3_2026-06-30 14:20:05.415445/failure_records.jsonl,202,"Environment: lbforaging:Foraging-10x10-3p-3f-v3 | Episode length: 51 | Number of agents: 3 | Episode return: 0.0000 | Success threshold reached: not configured | Positive reward steps: 0 | Zero reward steps: 51 | Action histogram: {'load': 42, 'east': 77, 'noop': 7, 'north': 11, 'south': 15, 'west': 1} | Load action counts by agent: [17, 12, 13] | Mean absolute state change: 0.040000 | State variation: 2.813080"
DV086,inefficient_exploration,3,Adjudicated to annotator A on semantic ambiguity.,inefficient_exploration,low_value_overcommitment,epymarl/results/llm_fd/mappo_llm_fd_seed1_lbforaging:Foraging-8x8-2p-2f-coop-v3_2026-06-30 12:26:02.103499/failure_records.jsonl,266,"Environment: lbforaging:Foraging-8x8-2p-2f-coop-v3 | Episode length: 51 | Number of agents: 2 | Episode return: 0.0000 | Success threshold reached: not configured | Positive reward steps: 0 | Zero reward steps: 51 | Action histogram: {'noop': 10, 'south': 24, 'load': 39, 'west': 6, 'east': 22, 'north': 1} | Load action counts by agent: [21, 18] | Mean absolute state change: 0.045000 | State variation: 2.060843"
DV087,inefficient_exploration,3,Adjudicated to annotator A on semantic ambiguity.,inefficient_exploration,low_value_overcommitment,epymarl/results/llm_fd/mappo_llm_fd_seed2_lbforaging:Foraging-10x10-3p-3f-v3_2026-07-01 08:10:40.975439/failure_records.jsonl,596,"Environment: lbforaging:Foraging-10x10-3p-3f-v3 | Episode length: 51 | Number of agents: 3 | Episode return: 0.0000 | Success threshold reached: not configured | Positive reward steps: 0 | Zero reward steps: 51 | Action histogram: {'load': 62, 'west': 60, 'north': 22, 'east': 6, 'south': 2, 'noop': 1} | Load action counts by agent: [14, 23, 25] | Mean absolute state change: 0.035556 | State variation: 2.174450"
DV088,low_value_overcommitment,2,Annotators agreed.,low_value_overcommitment,low_value_overcommitment,epymarl/results/llm_fd/mappo_llm_fd_seed2_lbforaging:Foraging-8x8-2p-2f-coop-v3_2026-06-30 13:49:48.797912/failure_records.jsonl,1275,"Environment: lbforaging:Foraging-8x8-2p-2f-coop-v3 | Episode length: 51 | Number of agents: 2 | Episode return: 0.0000 | Success threshold reached: not configured | Positive reward steps: 0 | Zero reward steps: 51 | Action histogram: {'east': 16, 'south': 10, 'load': 70, 'north': 4, 'noop': 2} | Load action counts by agent: [30, 40] | Mean absolute state change: 0.018333 | State variation: 2.068679"
DV089,inefficient_exploration,3,Adjudicated to annotator A on semantic ambiguity.,inefficient_exploration,low_value_overcommitment,epymarl/results/llm_fd/mappo_llm_fd_seed1_lbforaging:Foraging-10x10-3p-3f-v3_2026-07-01 07:45:17.277654/failure_records.jsonl,519,"Environment: lbforaging:Foraging-10x10-3p-3f-v3 | Episode length: 51 | Number of agents: 3 | Episode return: 0.0000 | Success threshold reached: not configured | Positive reward steps: 0 | Zero reward steps: 51 | Action histogram: {'north': 4, 'south': 87, 'load': 51, 'noop': 3, 'east': 8} | Load action counts by agent: [15, 20, 16] | Mean absolute state change: 0.028889 | State variation: 2.666635"
DV090,low_value_overcommitment,2,Annotators agreed.,low_value_overcommitment,low_value_overcommitment,epymarl/results/llm_fd/mappo_llm_fd_seed1_lbforaging:Foraging-10x10-3p-3f-v3_2026-07-01 07:51:31.574638/failure_records.jsonl,567,"Environment: lbforaging:Foraging-10x10-3p-3f-v3 | Episode length: 51 | Number of agents: 3 | Episode return: 0.0000 | Success threshold reached: not configured | Positive reward steps: 0 | Zero reward steps: 51 | Action histogram: {'load': 96, 'noop': 1, 'south': 34, 'west': 3, 'north': 16, 'east': 3} | Load action counts by agent: [33, 30, 33] | Mean absolute state change: 0.052222 | State variation: 2.906356"
DV091,low_value_overcommitment,2,Annotators agreed.,low_value_overcommitment,low_value_overcommitment,epymarl/results/llm_fd/mappo_llm_fd_seed2_lbforaging:Foraging-10x10-3p-3f-v3_2026-07-01 08:16:43.925328/failure_records.jsonl,604,"Environment: lbforaging:Foraging-10x10-3p-3f-v3 | Episode length: 51 | Number of agents: 3 | Episode return: 0.0000 | Success threshold reached: not configured | Positive reward steps: 0 | Zero reward steps: 51 | Action histogram: {'west': 3, 'north': 34, 'load': 109, 'noop': 2, 'east': 5} | Load action counts by agent: [42, 37, 30] | Mean absolute state change: 0.017778 | State variation: 2.620728"
DV092,low_value_overcommitment,2,Annotators agreed.,low_value_overcommitment,low_value_overcommitment,epymarl/results/llm_fd/mappo_llm_fd_seed3_lbforaging:Foraging-8x8-2p-2f-coop-v3_2026-06-30 14:07:24.631834/failure_records.jsonl,1819,"Environment: lbforaging:Foraging-8x8-2p-2f-coop-v3 | Episode length: 51 | Number of agents: 2 | Episode return: 0.0000 | Success threshold reached: not configured | Positive reward steps: 0 | Zero reward steps: 51 | Action histogram: {'south': 8, 'north': 9, 'load': 67, 'east': 11, 'west': 6, 'noop': 1} | Load action counts by agent: [28, 39] | Mean absolute state change: 0.045000 | State variation: 1.187853"
DV093,insufficient_cooperation,3,Annotators agreed.,insufficient_cooperation,insufficient_cooperation,epymarl/results/llm_fd/mappo_llm_fd_seed2_lbforaging:Foraging-8x8-2p-2f-coop-v3_2026-06-30 13:49:48.797912/failure_records.jsonl,1535,"Environment: lbforaging:Foraging-8x8-2p-2f-coop-v3 | Episode length: 51 | Number of agents: 2 | Episode return: 0.0000 | Success threshold reached: not configured | Positive reward steps: 0 | Zero reward steps: 51 | Action histogram: {'east': 93, 'south': 4, 'noop': 1, 'west': 1, 'load': 3} | Load action counts by agent: [0, 3] | Mean absolute state change: 0.016667 | State variation: 2.140841"
DV094,low_value_overcommitment,2,Annotators agreed.,low_value_overcommitment,low_value_overcommitment,epymarl/results/llm_fd/mappo_llm_fd_seed3_lbforaging:Foraging-8x8-2p-2f-coop-v3_2026-06-30 14:07:24.631834/failure_records.jsonl,1290,"Environment: lbforaging:Foraging-8x8-2p-2f-coop-v3 | Episode length: 51 | Number of agents: 2 | Episode return: 0.0000 | Success threshold reached: not configured | Positive reward steps: 0 | Zero reward steps: 51 | Action histogram: {'west': 9, 'north': 6, 'noop': 4, 'load': 77, 'east': 6} | Load action counts by agent: [40, 37] | Mean absolute state change: 0.028333 | State variation: 1.239397"
DV095,inefficient_exploration,3,Adjudicated to annotator A on semantic ambiguity.,inefficient_exploration,low_value_overcommitment,epymarl/results/llm_fd/mappo_llm_fd_seed2_lbforaging:Foraging-8x8-2p-2f-coop-v3_2026-06-30 12:35:50.119223/failure_records.jsonl,666,"Environment: lbforaging:Foraging-8x8-2p-2f-coop-v3 | Episode length: 51 | Number of agents: 2 | Episode return: 0.0000 | Success threshold reached: not configured | Positive reward steps: 0 | Zero reward steps: 51 | Action histogram: {'north': 8, 'south': 50, 'east': 25, 'load': 14, 'noop': 5} | Load action counts by agent: [8, 6] | Mean absolute state change: 0.050000 | State variation: 2.048556"
DV096,inefficient_exploration,3,Adjudicated to annotator A on semantic ambiguity.,inefficient_exploration,low_value_overcommitment,epymarl/results/llm_fd/mappo_llm_fd_seed2_lbforaging:Foraging-10x10-3p-3f-v3_2026-07-01 08:10:40.975439/failure_records.jsonl,776,"Environment: lbforaging:Foraging-10x10-3p-3f-v3 | Episode length: 51 | Number of agents: 3 | Episode return: 0.0000 | Success threshold reached: not configured | Positive reward steps: 0 | Zero reward steps: 51 | Action histogram: {'north': 106, 'east': 1, 'load': 42, 'west': 4} | Load action counts by agent: [10, 19, 13] | Mean absolute state change: 0.017778 | State variation: 2.557953"
DV097,inefficient_exploration,3,Adjudicated to annotator A on semantic ambiguity.,inefficient_exploration,low_value_overcommitment,epymarl/results/llm_fd/mappo_llm_fd_seed1_lbforaging:Foraging-10x10-3p-3f-v3_2026-07-01 07:51:31.574638/failure_records.jsonl,1962,"Environment: lbforaging:Foraging-10x10-3p-3f-v3 | Episode length: 51 | Number of agents: 3 | Episode return: 0.0000 | Success threshold reached: not configured | Positive reward steps: 0 | Zero reward steps: 51 | Action histogram: {'load': 74, 'south': 9, 'north': 43, 'east': 21, 'west': 5, 'noop': 1} | Load action counts by agent: [21, 29, 24] | Mean absolute state change: 0.046667 | State variation: 2.510391"
DV098,low_value_overcommitment,2,Annotators agreed.,low_value_overcommitment,low_value_overcommitment,epymarl/results/llm_fd/mappo_llm_fd_seed2_lbforaging:Foraging-10x10-3p-3f-v3_2026-07-01 08:16:43.925328/failure_records.jsonl,1841,"Environment: lbforaging:Foraging-10x10-3p-3f-v3 | Episode length: 51 | Number of agents: 3 | Episode return: 0.0000 | Success threshold reached: not configured | Positive reward steps: 0 | Zero reward steps: 51 | Action histogram: {'north': 14, 'load': 117, 'south': 7, 'west': 7, 'east': 8} | Load action counts by agent: [37, 39, 41] | Mean absolute state change: 0.034444 | State variation: 2.290603"
DV099,inefficient_exploration,3,Adjudicated to annotator A on semantic ambiguity.,inefficient_exploration,low_value_overcommitment,epymarl/results/llm_fd/mappo_llm_fd_seed3_lbforaging:Foraging-8x8-2p-2f-coop-v3_2026-06-30 12:43:33.810742/failure_records.jsonl,774,"Environment: lbforaging:Foraging-8x8-2p-2f-coop-v3 | Episode length: 51 | Number of agents: 2 | Episode return: 0.0000 | Success threshold reached: not configured | Positive reward steps: 0 | Zero reward steps: 51 | Action histogram: {'north': 20, 'west': 38, 'load': 16, 'noop': 12, 'east': 12, 'south': 4} | Load action counts by agent: [11, 5] | Mean absolute state change: 0.076667 | State variation: 1.650895"
DV100,target_miscoordination,2,Annotators agreed.,target_miscoordination,target_miscoordination,epymarl/results/llm_fd/mappo_llm_fd_seed1_lbforaging:Foraging-10x10-3p-3f-v3_2026-07-02 09:05:43.895191/failure_records.jsonl,996,"Environment: lbforaging:Foraging-10x10-3p-3f-v3 | Episode length: 51 | Number of agents: 3 | Episode return: 0.0000 | Success threshold reached: not configured | Positive reward steps: 0 | Zero reward steps: 51 | Action histogram: {'south': 118, 'load': 26, 'noop': 2, 'east': 3, 'west': 4} | Load action counts by agent: [3, 14, 9] | Mean absolute state change: 0.016667 | State variation: 2.821132"
DV101,inefficient_exploration,3,Adjudicated to annotator A on semantic ambiguity.,inefficient_exploration,low_value_overcommitment,epymarl/results/llm_fd/mappo_llm_fd_seed1_lbforaging:Foraging-8x8-2p-2f-coop-v3_2026-06-30 12:28:26.453561/failure_records.jsonl,411,"Environment: lbforaging:Foraging-8x8-2p-2f-coop-v3 | Episode length: 51 | Number of agents: 2 | Episode return: 0.0000 | Success threshold reached: not configured | Positive reward steps: 0 | Zero reward steps: 51 | Action histogram: {'south': 6, 'noop': 3, 'east': 63, 'load': 26, 'west': 4} | Load action counts by agent: [10, 16] | Mean absolute state change: 0.036667 | State variation: 1.764182"
DV102,inefficient_exploration,3,Adjudicated to annotator A on semantic ambiguity.,inefficient_exploration,low_value_overcommitment,epymarl/results/llm_fd/mappo_llm_fd_seed2_lbforaging:Foraging-10x10-3p-3f-v3_2026-07-01 08:10:40.975439/failure_records.jsonl,1364,"Environment: lbforaging:Foraging-10x10-3p-3f-v3 | Episode length: 51 | Number of agents: 3 | Episode return: 0.0000 | Success threshold reached: not configured | Positive reward steps: 0 | Zero reward steps: 51 | Action histogram: {'load': 52, 'east': 86, 'south': 10, 'west': 2, 'north': 2, 'noop': 1} | Load action counts by agent: [20, 18, 14] | Mean absolute state change: 0.027778 | State variation: 2.663871"
DV103,inefficient_exploration,3,Adjudicated to annotator A on semantic ambiguity.,inefficient_exploration,low_value_overcommitment,epymarl/results/llm_fd/mappo_llm_fd_seed1_lbforaging:Foraging-10x10-3p-3f-v3_2026-07-01 07:45:17.277654/failure_records.jsonl,308,"Environment: lbforaging:Foraging-10x10-3p-3f-v3 | Episode length: 51 | Number of agents: 3 | Episode return: 0.0000 | Success threshold reached: not configured | Positive reward steps: 0 | Zero reward steps: 51 | Action histogram: {'east': 22, 'south': 66, 'noop': 1, 'load': 52, 'west': 3, 'north': 9} | Load action counts by agent: [17, 14, 21] | Mean absolute state change: 0.041111 | State variation: 3.005804"
DV104,inefficient_exploration,3,Adjudicated to annotator A on semantic ambiguity.,inefficient_exploration,low_value_overcommitment,epymarl/results/llm_fd/mappo_llm_fd_seed1_lbforaging:Foraging-8x8-2p-2f-coop-v3_2026-06-30 12:26:02.103499/failure_records.jsonl,340,"Environment: lbforaging:Foraging-8x8-2p-2f-coop-v3 | Episode length: 51 | Number of agents: 2 | Episode return: 0.0000 | Success threshold reached: not configured | Positive reward steps: 0 | Zero reward steps: 51 | Action histogram: {'load': 38, 'east': 32, 'south': 15, 'noop': 7, 'west': 5, 'north': 5} | Load action counts by agent: [16, 22] | Mean absolute state change: 0.058333 | State variation: 1.975387"
DV105,inefficient_exploration,3,Adjudicated to annotator A on semantic ambiguity.,inefficient_exploration,low_value_overcommitment,epymarl/results/llm_fd/mappo_llm_fd_seed1_lbforaging:Foraging-8x8-2p-2f-coop-v3_2026-06-30 12:28:26.453561/failure_records.jsonl,409,"Environment: lbforaging:Foraging-8x8-2p-2f-coop-v3 | Episode length: 51 | Number of agents: 2 | Episode return: 0.0000 | Success threshold reached: not configured | Positive reward steps: 0 | Zero reward steps: 51 | Action histogram: {'north': 2, 'south': 11, 'load': 30, 'east': 45, 'west': 8, 'noop': 6} | Load action counts by agent: [10, 20] | Mean absolute state change: 0.058333 | State variation: 2.291441"
DV106,low_value_overcommitment,2,Annotators agreed.,low_value_overcommitment,low_value_overcommitment,epymarl/results/llm_fd/mappo_llm_fd_seed1_lbforaging:Foraging-10x10-3p-3f-v3_2026-07-01 07:45:17.277654/failure_records.jsonl,1731,"Environment: lbforaging:Foraging-10x10-3p-3f-v3 | Episode length: 51 | Number of agents: 3 | Episode return: 0.0000 | Success threshold reached: not configured | Positive reward steps: 0 | Zero reward steps: 51 | Action histogram: {'load': 108, 'east': 39, 'noop': 3, 'north': 2, 'west': 1} | Load action counts by agent: [41, 35, 32] | Mean absolute state change: 0.016667 | State variation: 2.815175"
DV107,low_value_overcommitment,2,Annotators agreed.,low_value_overcommitment,low_value_overcommitment,epymarl/results/llm_fd/mappo_llm_fd_seed2_lbforaging:Foraging-10x10-3p-3f-v3_2026-06-30 14:27:39.875255/failure_records.jsonl,557,"Environment: lbforaging:Foraging-10x10-3p-3f-v3 | Episode length: 51 | Number of agents: 3 | Episode return: 0.0000 | Success threshold reached: not configured | Positive reward steps: 0 | Zero reward steps: 51 | Action histogram: {'west': 4, 'noop': 5, 'east': 18, 'load': 80, 'north': 24, 'south': 22} | Load action counts by agent: [24, 27, 29] | Mean absolute state change: 0.066667 | State variation: 2.419707"
DV108,inefficient_exploration,3,Annotators agreed.,inefficient_exploration,inefficient_exploration,epymarl/results/llm_fd/mappo_llm_fd_seed3_lbforaging:Foraging-8x8-2p-2f-coop-v3_2026-06-30 12:41:00.045290/failure_records.jsonl,297,"Environment: lbforaging:Foraging-8x8-2p-2f-coop-v3 | Episode length: 51 | Number of agents: 2 | Episode return: 0.0000 | Success threshold reached: not configured | Positive reward steps: 0 | Zero reward steps: 51 | Action histogram: {'north': 36, 'west': 32, 'load': 7, 'south': 3, 'noop': 23, 'east': 1} | Load action counts by agent: [3, 4] | Mean absolute state change: 0.026667 | State variation: 1.726499"
DV109,low_value_overcommitment,2,Annotators agreed.,low_value_overcommitment,low_value_overcommitment,epymarl/results/llm_fd/mappo_llm_fd_seed1_lbforaging:Foraging-10x10-3p-3f-v3_2026-07-01 07:51:31.574638/failure_records.jsonl,1766,"Environment: lbforaging:Foraging-10x10-3p-3f-v3 | Episode length: 51 | Number of agents: 3 | Episode return: 0.0000 | Success threshold reached: not configured | Positive reward steps: 0 | Zero reward steps: 51 | Action histogram: {'east': 8, 'load': 98, 'south': 18, 'north': 15, 'west': 11, 'noop': 3} | Load action counts by agent: [31, 35, 32] | Mean absolute state change: 0.048889 | State variation: 2.338243"
DV110,inefficient_exploration,3,Adjudicated to annotator A on semantic ambiguity.,inefficient_exploration,low_value_overcommitment,epymarl/results/llm_fd/mappo_llm_fd_seed1_lbforaging:Foraging-10x10-3p-3f-v3_2026-06-30 14:20:05.415445/failure_records.jsonl,940,"Environment: lbforaging:Foraging-10x10-3p-3f-v3 | Episode length: 51 | Number of agents: 3 | Episode return: 0.0000 | Success threshold reached: not configured | Positive reward steps: 0 | Zero reward steps: 51 | Action histogram: {'south': 31, 'load': 58, 'west': 42, 'east': 19, 'noop': 2, 'north': 1} | Load action counts by agent: [20, 20, 18] | Mean absolute state change: 0.048889 | State variation: 2.794502"
DV111,inefficient_exploration,3,Adjudicated to annotator A on semantic ambiguity.,inefficient_exploration,low_value_overcommitment,epymarl/results/llm_fd/mappo_llm_fd_seed1_lbforaging:Foraging-10x10-3p-3f-v3_2026-07-01 07:45:17.277654/failure_records.jsonl,828,"Environment: lbforaging:Foraging-10x10-3p-3f-v3 | Episode length: 51 | Number of agents: 3 | Episode return: 0.0000 | Success threshold reached: not configured | Positive reward steps: 0 | Zero reward steps: 51 | Action histogram: {'south': 82, 'noop': 2, 'load': 57, 'north': 4, 'east': 7, 'west': 1} | Load action counts by agent: [22, 15, 20] | Mean absolute state change: 0.031111 | State variation: 3.110584"
DV112,low_value_overcommitment,2,Annotators agreed.,low_value_overcommitment,low_value_overcommitment,epymarl/results/llm_fd/mappo_llm_fd_seed3_lbforaging:Foraging-10x10-3p-3f-v3_2026-07-01 08:42:46.689266/failure_records.jsonl,868,"Environment: lbforaging:Foraging-10x10-3p-3f-v3 | Episode length: 51 | Number of agents: 3 | Episode return: 0.0000 | Success threshold reached: not configured | Positive reward steps: 0 | Zero reward steps: 51 | Action histogram: {'north': 3, 'load': 98, 'east': 33, 'south': 17, 'west': 2} | Load action counts by agent: [31, 35, 32] | Mean absolute state change: 0.036667 | State variation: 2.710671"
DV113,low_value_overcommitment,2,Annotators agreed.,low_value_overcommitment,low_value_overcommitment,epymarl/results/llm_fd/mappo_llm_fd_seed2_lbforaging:Foraging-10x10-3p-3f-v3_2026-07-01 08:10:40.975439/failure_records.jsonl,942,"Environment: lbforaging:Foraging-10x10-3p-3f-v3 | Episode length: 51 | Number of agents: 3 | Episode return: 0.0000 | Success threshold reached: not configured | Positive reward steps: 0 | Zero reward steps: 51 | Action histogram: {'load': 135, 'north': 14, 'west': 1, 'east': 2, 'south': 1} | Load action counts by agent: [46, 44, 45] | Mean absolute state change: 0.017778 | State variation: 2.356532"
DV114,inefficient_exploration,3,Adjudicated to annotator A on semantic ambiguity.,inefficient_exploration,low_value_overcommitment,epymarl/results/llm_fd/mappo_llm_fd_seed1_lbforaging:Foraging-10x10-3p-3f-v3_2026-07-02 09:05:43.895191/failure_records.jsonl,310,"Environment: lbforaging:Foraging-10x10-3p-3f-v3 | Episode length: 51 | Number of agents: 3 | Episode return: 0.0000 | Success threshold reached: not configured | Positive reward steps: 0 | Zero reward steps: 51 | Action histogram: {'load': 53, 'south': 73, 'west': 10, 'east': 14, 'noop': 2, 'north': 1} | Load action counts by agent: [15, 19, 19] | Mean absolute state change: 0.038889 | State variation: 2.693122"
DV115,low_value_overcommitment,2,Annotators agreed.,low_value_overcommitment,low_value_overcommitment,epymarl/results/llm_fd/mappo_llm_fd_seed2_lbforaging:Foraging-10x10-3p-3f-v3_2026-07-01 08:16:43.925328/failure_records.jsonl,599,"Environment: lbforaging:Foraging-10x10-3p-3f-v3 | Episode length: 51 | Number of agents: 3 | Episode return: 0.0000 | Success threshold reached: not configured | Positive reward steps: 0 | Zero reward steps: 51 | Action histogram: {'load': 121, 'west': 4, 'east': 6, 'south': 3, 'north': 19} | Load action counts by agent: [42, 38, 41] | Mean absolute state change: 0.030000 | State variation: 2.619465"
DV116,low_value_overcommitment,2,Annotators agreed.,low_value_overcommitment,low_value_overcommitment,epymarl/results/llm_fd/mappo_llm_fd_seed1_lbforaging:Foraging-10x10-3p-3f-v3_2026-07-01 07:45:17.277654/failure_records.jsonl,1125,"Environment: lbforaging:Foraging-10x10-3p-3f-v3 | Episode length: 51 | Number of agents: 3 | Episode return: 0.0000 | Success threshold reached: not configured | Positive reward steps: 0 | Zero reward steps: 51 | Action histogram: {'load': 95, 'east': 24, 'south': 34} | Load action counts by agent: [35, 31, 29] | Mean absolute state change: 0.023333 | State variation: 2.564002"
DV117,low_value_overcommitment,2,Annotators agreed.,low_value_overcommitment,low_value_overcommitment,epymarl/results/llm_fd/mappo_llm_fd_seed1_lbforaging:Foraging-10x10-3p-3f-v3_2026-06-30 14:20:05.415445/failure_records.jsonl,1233,"Environment: lbforaging:Foraging-10x10-3p-3f-v3 | Episode length: 51 | Number of agents: 3 | Episode return: 0.0000 | Success threshold reached: not configured | Positive reward steps: 0 | Zero reward steps: 51 | Action histogram: {'load': 103, 'south': 10, 'north': 2, 'east': 24, 'west': 13, 'noop': 1} | Load action counts by agent: [35, 36, 32] | Mean absolute state change: 0.044444 | State variation: 2.464269"
DV118,low_value_overcommitment,2,Annotators agreed.,low_value_overcommitment,low_value_overcommitment,epymarl/results/llm_fd/mappo_llm_fd_seed2_lbforaging:Foraging-10x10-3p-3f-v3_2026-07-01 08:16:43.925328/failure_records.jsonl,899,"Environment: lbforaging:Foraging-10x10-3p-3f-v3 | Episode length: 51 | Number of agents: 3 | Episode return: 0.0000 | Success threshold reached: not configured | Positive reward steps: 0 | Zero reward steps: 51 | Action histogram: {'west': 41, 'load': 83, 'north': 4, 'south': 3, 'east': 21, 'noop': 1} | Load action counts by agent: [30, 28, 25] | Mean absolute state change: 0.066667 | State variation: 2.187391"
